sessao,modelo,mundo,controle,estadoTramas,tipadas,semente,eventos,ligacoes,ligPorEvento,pontes,pontesFusao,articulacoes,porTipo,forcaMedia,nascidas,fechadas,fundidas,propFechadas,propFundidas,propFechadasSemPontes,propFundidasSemPontes,propFechadasFortes,propFundidasFortes,nascidasFortes
porto-das-brumas_claude-cli-claude-haiku-4-5-20251001_informa_6ag_jog-nenhum_r01,claude-haiku-4-5-20251001,porto-das-brumas,False,informa,False,501,72,113,1.5694444444444444,11,4,15,{},,4,0,4,0.0,1.0,0.25,0.75,0.0,1.0,4
porto-das-brumas_claude-cli-claude-haiku-4-5-20251001_nao-informa_6ag_jog-nenhum_r01,claude-haiku-4-5-20251001,porto-das-brumas,False,nao-informa,False,501,72,109,1.5138888888888888,8,2,8,{},,4,1,2,0.25,0.5,0.25,0.5,0.25,0.5,4
porto-das-brumas_claude-cli-claude-opus-5_informa_6ag_jog-nenhum_r01,claude-opus-5,porto-das-brumas,False,informa,False,501,72,160,2.2222222222222223,0,0,0,{},,2,0,1,0.0,0.5,0.0,0.6666666666666666,0.0,0.5,2
porto-das-brumas_claude-cli-claude-opus-5_nao-informa_6ag_jog-nenhum_r01,claude-opus-5,porto-das-brumas,False,nao-informa,False,501,72,170,2.361111111111111,0,0,0,{},,3,0,2,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,3
porto-das-brumas_claude-cli-claude-sonnet-4-6_informa_6ag_jog-nenhum_r01,claude-sonnet-4-6,porto-das-brumas,False,informa,False,501,72,117,1.625,9,1,9,{},,3,0,2,0.0,0.6666666666666666,0.25,0.5,0.0,0.6666666666666666,3
porto-das-brumas_claude-cli-claude-sonnet-4-6_nao-informa_6ag_jog-nenhum_r01,claude-sonnet-4-6,porto-das-brumas,False,nao-informa,False,501,72,139,1.9305555555555556,4,0,5,{},,5,0,4,0.0,0.8,0.0,0.8,0.0,0.8,5
porto-das-brumas_claude-cli-claude-sonnet-5_informa_6ag_jog-nenhum_r01,claude-sonnet-5,porto-das-brumas,False,informa,False,501,72,118,1.6388888888888888,7,2,8,{},,5,1,3,0.2,0.6,0.2,0.8,0.2,0.6,5
porto-das-brumas_claude-cli-claude-sonnet-5_nao-informa_6ag_jog-nenhum_r01,claude-sonnet-5,porto-das-brumas,False,nao-informa,False,501,72,106,1.4722222222222223,9,3,10,{},,2,0,1,0.0,0.5,1.0,0.0,0.0,0.5,2
vale-silente_claude-cli-claude-haiku-4-5-20251001_informa_6ag_jog-nenhum_r01,claude-haiku-4-5-20251001,vale-silente,False,informa,False,501,72,80,1.1111111111111112,39,19,37,{},,5,2,0,0.4,0.0,1.0,0.0,0.4,0.0,5
vale-silente_claude-cli-claude-haiku-4-5-20251001_nao-informa_6ag_jog-nenhum_r01,claude-haiku-4-5-20251001,vale-silente,False,nao-informa,False,501,72,91,1.2638888888888888,31,12,32,{},,6,0,5,0.0,0.8333333333333334,0.8571428571428571,0.0,0.0,0.8333333333333334,6
